tokenName,description,image,Background,Body,Ear,Head,Mouth,Right Eye,Left Eye,Right Eyebrow,Left Eyebrow,Clothing,Jewelry,Headwear,Name,Generation
90,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/90.png,Indigo,Peach,Ear,Brown,Unbothered,Jade,Purple Lazy,Moody,Snooty,Tank Top NY,,Captain Hat,,
91,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/91.png,Pink,Purple,Ear,Brown,Snarl,Pacman,Yellow,Moody,Calm,Hippie Vest,,Docker Beanie,,
92,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/92.png,Grey,Brown,Ear,Brown,Crazy Gold Grill,Gold,Robot,Fancy,Calm,Tuxedo,Nose Ring,,,
93,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/93.png,Grey,Brown,Ear,Brown,Crazy,Gold,Blue Squint,Tranquil,Snooty,Tuxedo Red,,,,
94,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/94.png,Baby Blue,Purple,Ear,Brown,Lip Bite,Cotton Candy,Yellow,Tranquil,Snooty,,,,,
95,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/95.png,Green,Brown,Ear,Brown,Unbothered Blue,Cotton Candy,Blue Squint,Tranquil,Sinister,Fur Coat Dalmation,,Party Hat,,
96,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/96.png,Grey,Brown,Ear,Brown,Lip Bite,Pacman,Robot,Tranquil,Sinister,Vacation Shirt Red,,Fez,,
97,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/97.png,Indigo,Peach,Ear,Brown,Lip Bite Blue,Jade,Yellow,Fancy,Sinister,Tuxedo,,,,
98,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/98.png,Grey,Purple,Ear,Brown,Lip Bite,Jade,Yellow,Fancy,Calm,,Nose Stud,Cowboy Hat,,
99,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/99.png,Grey,Brown,Ear,Brown,Crazy Gold Grill,Cotton Candy,Purple Lazy,Fancy,Calm,Pablo des Gar�ons,,Bandana Red,,
100,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmdX617o3jRF5bFffdrs9ud1n8Pi3GVrB1BSzh4QLUE3JC/100.png,Pink,Peach,Ear,Brown,Snarl,Pacman,Purple Lazy,Tranquil,Sinister,Tuxedo,,Straw Hat,,
